component_id,category,brand,component_name,price_chf,source,source_url,price_checked_date,notes
body-om1ii,body,OM System,OM-1 Mark II body,1748.00,OM SYSTEM Switzerland,https://explore.omsystem.com/ch/de/om-1-mark-ii-body,2026-09-19,Current official Swiss web-store price snapshot; MSRP CHF 1'999.
lens-om100400ii,lens,OM System,M.Zuiko Digital ED 100-400mm F5.0-6.3 IS II,1278.00,OM SYSTEM Switzerland,https://explore.omsystem.com/ch/de/m-zuiko-ed-100-400mm-f5-0-6-3-is-ii-black,2026-09-19,Current official Swiss web-store price snapshot; MSRP CHF 1'349.
lens-om300f4,lens,OM System,M.Zuiko Digital ED 300mm F4.0 IS PRO,2388.00,OM SYSTEM Switzerland,https://explore.omsystem.com/ch/de/m-zuiko-ed-300mm-f4-0-is-pro-black,2026-09-19,Current official Swiss web-store price snapshot; MSRP CHF 2'599.
lens-om150400,lens,OM System,M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO,6449.00,OM SYSTEM Switzerland,https://explore.omsystem.com/ch/de/m-zuiko-ed-150-400mm-f4-5-tc1-25x-is-pro-white,2026-09-19,Current official Swiss web-store price snapshot; built-in 1.25x TC included; MSRP CHF 6'499.
tc-om-mc14,teleconverter,OM System,MC-14 1.4x,449.00,OM SYSTEM Switzerland,https://explore.omsystem.com/ch/de/m-zuiko-digital-1-4x-teleconverter-mc-14,2026-09-19,Current official Swiss web-store price snapshot.
body-r5ii,body,Canon,EOS R5 Mark II body,2899.9,Toppreise.ch,https://www.toppreise.ch/browse?q=Canon+EOS+R5+Mark+II+Body,2026-08-28,Cheapest current surfaced body price incl. shipping.
lens-rf600f11,lens,Canon,RF600mm F11 IS STM,654.0,Toppreise.ch,https://www.toppreise.ch/browse?q=Canon+RF600+F11+IS+STM,2026-08-28,Cheapest surfaced new-item price incl. shipping.
lens-rf800f11,lens,Canon,RF800mm F11 IS STM,764.95,Toppreise.ch,https://www.toppreise.ch/browse?q=Canon+RF800+F11+IS+STM,2026-08-28,Cheapest current surfaced new-item price incl. shipping.
lens-rf100500,lens,Canon,RF100-500mm F4.5-7.1 L IS USM,2294.6,Toppreise.ch,https://www.toppreise.ch/browse?q=Canon+RF100-500+F4.5-7.1+L+IS+USM,2026-08-28,Cheapest surfaced new-item price incl. shipping.
lens-rf200800,lens,Canon,RF200-800mm F6.3-9 IS USM,1684.2,Toppreise.ch,https://www.toppreise.ch/browse?q=Canon+RF200-800mm+F6.3-9+IS+USM,2026-08-28,Cheapest current surfaced new-item price incl. shipping.
lens-rf600f4,lens,Canon,RF600mm F4 L IS USM,12399.0,Toppreise.ch,https://www.toppreise.ch/browse?q=Canon+RF600+F4+L+IS+USM,2026-08-28,Cheapest surfaced new-item price incl. shipping.
tc-rf14,teleconverter,Canon,Extender RF 1.4x,423.05,Toppreise.ch,https://www.toppreise.ch/price-comparison/Converters-adapters/CANON-Extender-RF-1-4x-4113C005-p616646,2026-08-28,19 offers; cheapest surfaced import price incl. shipping.
body-xh2s,body,Fujifilm,X-H2S body,1998.0,Toppreise.ch,https://www.toppreise.ch/browse?q=Fujifilm+X-H2S+Body,2026-08-28,Cheapest surfaced new-item price incl. shipping.
lens-xf150600,lens,Fujifilm,XF150-600mmF5.6-8 R LM OIS WR,1529.0,Toppreise.ch,https://www.toppreise.ch/price-comparison/Lenses/FUJIFILM-Fujinon-XF-150-600-mm-F5-6-8-R-LM-OIS-WR-4174608-p697191,2026-08-28,15 offers; cheapest surfaced price incl. shipping.
lens-xf500,lens,Fujifilm,XF500mmF5.6 R LM OIS WR,2579.0,Toppreise.ch,https://www.toppreise.ch/price-comparison/Lenses/FUJIFILM-Fujinon-XF-500mm-F5-6-R-LM-OIS-WR-4180324-p785551,2026-08-28,12 offers; cheapest surfaced price incl. shipping.
tc-xf14,teleconverter,Fujifilm,XF1.4X TC WR,346.0,Toppreise.ch,https://www.toppreise.ch/chercher?q=fujifilm+tc+1.4x,2026-09-16,12 offers surfaced; cheapest price CHF 346 including shipping on the latest indexed Toppreise result.
body-z8,body,Nikon,Z8 body,2482.95,Toppreise.ch,https://www.toppreise.ch/browse?q=Nikon+Z8+Body,2026-08-28,Current surfaced Toppreise body price incl. shipping.
lens-z600f63,lens,Nikon,NIKKOR Z 600mm f/6.3 VR S,3998.0,Toppreise.ch,https://www.toppreise.ch/browse?q=Nikon+Z+600mm+f6.3+VR+S,2026-08-28,Cheapest surfaced new-item price incl. shipping.
lens-z180600,lens,Nikon,NIKKOR Z 180-600mm f/5.6-6.3 VR,1278.55,Toppreise.ch,https://www.toppreise.ch/browse?q=Nikon+Z+180-600mm+f5.6-6.3+VR,2026-08-28,Current surfaced Toppreise price incl. shipping.
lens-z400f45,lens,Nikon,NIKKOR Z 400mm f/4.5 VR S,2498.0,Toppreise.ch,https://www.toppreise.ch/browse?q=Nikon+Z+400mm+f4.5+VR+S,2026-08-28,Cheapest surfaced new-item price incl. shipping.
lens-z800f63,lens,Nikon,NIKKOR Z 800mm f/6.3 VR S,4798.0,Toppreise.ch,https://www.toppreise.ch/browse?q=Nikon+Z+800mm+f6.3+VR+S,2026-08-28,Cheapest surfaced new-item price incl. shipping.
lens-z600f4tc,lens,Nikon,NIKKOR Z 600mm f/4 TC VR S,13400.0,Toppreise.ch,https://www.toppreise.ch/browse?q=Nikon+Z+600mm+f4+TC+VR+S,2026-08-28,Built-in 1.4x TC included in lens price.
lens-z400f28tc,lens,Nikon,NIKKOR Z 400mm f/2.8 TC VR S,11200.0,Toppreise.ch,https://www.toppreise.ch/browse?q=Nikon+Z+400mm+f2.8+TC+VR+S,2026-08-28,Built-in 1.4x TC included in lens price.
tc-z14,teleconverter,Nikon,Z TC-1.4x,454.75,Toppreise.ch,https://www.toppreise.ch/comparison-prix/Convertisseurs-adaptateurs/NIKON-Z-TC-1-4x-JMA903DA-p618611,2026-08-28,18 offers; cheapest surfaced price incl. shipping.
body-a1ii,body,Sony,Alpha 1 II body,6369.0,Galaxus,https://www.galaxus.ch/de/s1/product/sony-alpha-1-ii-5010-mpx-vollformat-kamera-52972373,2026-08-28,Fallback because Toppreise did not surface a usable Alpha 1 II body listing; Galaxus new price.
lens-fe200600,lens,Sony,FE 200-600mm F5.6-6.3 G OSS,1304.33,Toppreise.ch,https://www.toppreise.ch/browse?q=Sony+FE+200-600mm+F5.6-6.3+G+OSS,2026-08-28,Cheapest surfaced new-item price incl. shipping.
lens-sigma500,lens,Sony,Sigma 500mm F5.6 DG DN OS Sports (Sony E),2599.0,Toppreise.ch,https://www.toppreise.ch/browse?q=Sigma+500mm+F5.6+DG+DN+Sony+E,2026-08-28,Cheapest surfaced new-item price incl. shipping.
lens-fe400800,lens,Sony,FE 400-800mm F6.3-8 G OSS,2048.8,Toppreise.ch,https://www.toppreise.ch/browse?q=Sony+FE+400-800mm+F6.3-8+G+OSS,2026-08-28,Cheapest recent surfaced new-item price incl. shipping.
lens-fe300f28,lens,Sony,FE 300mm F2.8 GM OSS,6040.0,Toppreise.ch,https://www.toppreise.ch/chercher?q=sony+300mm+f2.8+gm+oss,2026-08-28,Toppreise currently surfaces one new FE 300/2.8 offer under a mixed legacy/current product page.
lens-fe600f4,lens,Sony,FE 600mm F4 GM OSS,14680.4,Toppreise.ch,https://www.toppreise.ch/browse?q=Sony+gm+600mm+f4,2026-08-28,"One surfaced offer; CHF 14,240 product + CHF 440.40 shipping = CHF 14,680.40 delivered."
lens-fe400f28,lens,Sony,FE 400mm F2.8 GM OSS,11999.0,Digifuchs,https://www.digifuchs.ch/index.php?advised_product=26408&bsp=1&prod_aufklappen=yes&prodkat_ident=38,2026-08-28,Fallback because Toppreise search did not surface the lens itself; current Swiss retailer new price.
tc-sony14,teleconverter,Sony,SEL-14TC 1.4x,436.8,Toppreise.ch,https://www.toppreise.ch/comparison-prix/Convertisseurs-adaptateurs/SONY-SEL-14TC-p465130,2026-08-28,Cheapest surfaced new-item price incl. shipping.
lens-fe400f45,lens,Sony,FE 400mm F4.5 GM OSS,2645.71,Sony Europe,https://www.sony.co.uk/presscentre/sony-announces-new-400-mm-and-600-mm-g-master-super-telephoto-prime-lenses-the-worlds-lightest-lenses-in-their-class,2026-09-15,Official European launch estimate approx. EUR 2800 converted at EUR/CHF 0.944895 on 2026-09-15; announced 2026-09-15; not yet a Swiss street-price snapshot.
lens-fe600f63,lens,Sony,FE 600mm F6.3 GM OSS,3685.09,Sony Europe,https://www.sony.co.uk/presscentre/sony-announces-new-400-mm-and-600-mm-g-master-super-telephoto-prime-lenses-the-worlds-lightest-lenses-in-their-class,2026-09-15,Official European launch estimate approx. EUR 3900 converted at EUR/CHF 0.944895 on 2026-09-15; announced 2026-09-15; not yet a Swiss street-price snapshot.
lens-om150600,lens,OM System,M.Zuiko Digital ED 150-600mm F5.0-6.3 IS,2138.00,OM SYSTEM Switzerland,https://explore.omsystem.com/ch/de/m-zuiko-ed-150-600mm-f5-0-6-3-is-black,2026-09-19,Current official Swiss web-store price snapshot; MSRP CHF 2'299.
lens-rf100400,lens,Canon,RF100-400mm F5.6-8 IS USM,599.70,Toppreise.ch,https://www.toppreise.ch/browse?q=canon+rf+100-400,2026-09-16,Current surfaced Swiss new price incl. shipping.
lens-rf400f28,lens,Canon,RF400mm F2.8 L IS USM,12399.0,Canon Switzerland / Toppreise snapshot,https://www.canon.ch/lenses/rf-400mm-f2-8-l-is-usm/,2026-09-16,Swiss price basis aligned with current project snapshot.
lens-rf800f56,lens,Canon,RF800mm F5.6 L IS USM,19749.0,Canon Switzerland,https://www.canon.ch/lenses/rf-800mm-f5-6-l-is-usm/,2026-09-16,Official Swiss price snapshot.
lens-xf100400,lens,Fujifilm,XF100-400mmF4.5-5.6 R LM OIS WR,1067.0,Toppreise.ch,https://www.toppreise.ch/browse?q=Fujifilm+XF100-400,2026-09-16,Current surfaced Swiss new price snapshot.
lens-xf400f45,lens,Fujifilm,XF400mmF4.5 R LM OIS WR,2597.0,Toppreise.ch,https://www.toppreise.ch/browse?q=Fujifilm+XF400mmF4.5,2026-09-16,Current surfaced Swiss new price snapshot.
lens-z100400,lens,Nikon,NIKKOR Z 100-400mm f/4.5-5.6 VR S,2148.0,Toppreise.ch,https://www.toppreise.ch/preisvergleich/Objektive/NIKON-Nikkor-Z-100-400mm-F-4-5-5-6-VR-S-JMA716DB-p860806,2026-09-16,Current surfaced Swiss new price snapshot.
lens-fe100400b,lens,Sony,FE 100-400mm F5.6-8 OSS,739.75,Toppreise.ch,https://www.toppreise.ch/browse?q=sony+fe+100-400mm+5.6,2026-09-16,Current surfaced Swiss new price snapshot.
lens-fe100400gm,lens,Sony,FE 100-400mm F4.5-5.6 GM OSS,1747.95,Toppreise.ch,https://www.toppreise.ch/price-comparison/Lenses/SONY-FE-100-400mm-F-4-5-5-6-GM-OSS-SEL-100400GM-p491441,2026-09-16,Current surfaced Swiss new price incl. shipping.
lens-fe100400mc,lens,Sony,FE 100-400mm F4.5 GM OSS,3810.55,Toppreise.ch,https://www.toppreise.ch/browse?q=Sony+FE+100-400+F4.5+GM+OSS,2026-09-16,Current surfaced Swiss new price snapshot.
lens-tamron150500-x,lens,Fujifilm,Tamron 150-500mm F5-6.7 Di III VC VXD X,970.55,Toppreise.ch,https://www.toppreise.ch/browse?q=Tamron+150-500+Fujifilm+X,2026-09-16,Current surfaced Swiss new price snapshot.
lens-tamron150500-z,lens,Nikon,Tamron 150-500mm F5-6.7 Di III VC VXD (Nikon Z),858.0,Toppreise.ch,https://www.toppreise.ch/browse?q=Tamron+150-500+Nikon+Z,2026-09-16,Current surfaced Swiss new price snapshot.
lens-tamron150500-e,lens,Sony,Tamron 150-500mm F5-6.7 Di III VC VXD (Sony E),805.0,Toppreise.ch,https://www.toppreise.ch/browse?q=Tamron+150-500+Sony+E,2026-09-16,Current surfaced Swiss new price snapshot.
